Initial state,P(Loser = Player 1)
"(1, 10, 3)",209/273
"(1, 10, 4)",5/6
"(1, 10, 5)",78977/88572
"(1, 10, 6)",108/121
"(1, 10, 7)",35/39
"(1, 10, 8)",8831/9840
"(1, 10, 9)",145/162
"(1, 10, 10)",8/9
"(1, 10, 11)",429283/478296
"(1, 10, 12)",35429/39366
"(1, 10, 13)",49/54
"(1, 10, 14)",8996/9837
"(1, 10, 15)",6563429/7174452
"(1, 10, 16)",2081/2271
"(1, 10, 17)",3944617/4304664
"(1, 10, 18)",108233/118098
"(1, 10, 19)",11/12
"(1, 10, 20)",1337/1458
"(1, 10, 21)",731267/797160
"(1, 10, 22)",149/162
"(1, 10, 23)",2204498/2391483
"(1, 10, 24)",1807981034/1961312535
"(1, 10, 25)",163973/177879
"(1, 10, 26)",2142848845/2324522934
"(1, 10, 27)",18841/20439
"(1, 10, 28)",224/243
"(1, 10, 29)",2170959003205794184467131699/2355064348623122417460801840
"(1, 10, 30)",3163341917123/3431518868244
"(1, 10, 31)",755/819
"(1, 10, 32)",28195499/30585828
"(1, 10, 33)",520718987893/564859072962
"(1, 10, 34)",119075573/129159849
"(1, 10, 35)",31636116767207/34315188682440
"(1, 10, 36)",390577324841/423644294880
"(1, 10, 37)",1004/1089
"(1, 10, 38)",3843867763892167/4169295424916640
"(1, 10, 39)",59503001/64540557
"(1, 10, 40)",1004/1089
"(1, 10, 41)",284730942640643/308836676618613
"(1, 10, 42)",36293/39366
"(1, 10, 43)",3023/3279
"(1, 10, 44)",59528711/64570080
"(1, 10, 45)",12097/13122
"(1, 10, 46)",224/243
"(1, 10, 47)",10014469211/10862654040
"(1, 10, 48)",238121029/258280326
"(1, 10, 49)",4033/4374
"(1, 10, 50)",605389935122873899853/656513934789074155254
"(1, 11, 1)",1/2
"(1, 11, 2)",29/39
"(1, 11, 3)",32969007/43053283
"(1, 11, 4)",5/6
"(1, 11, 5)",2914/3267
"(1, 11, 6)",975/1093
"(1, 11, 7)",8837/9840
"(1, 11, 8)",656/729
"(1, 11, 9)",3131780193/3486843451
"(1, 11, 10)",429283/478296
"(1, 11, 11)",8/9
"(1, 11, 12)",1664667882434457/1853020231898563
"(1, 11, 13)",49/54
"(1, 11, 14)",80990/88533
"(1, 11, 15)",752921511748357872189135/821581841487258106759759
"(1, 11, 16)",319619977/348677784
"(1, 11, 17)",2006/2187
"(1, 11, 18)",188913993076431/205891146443557
"(1, 11, 19)",149/162
"(1, 11, 20)",224/243
"(1, 11, 21)",5956575580595865968088741/6461081889229215164760571
"(1, 11, 22)",59524274/64570041
"(1, 11, 23)",20387/22113
"(1, 11, 24)",207609465308348802/225141952945498681
"(1, 11, 25)",520884465157/564859072962
"(1, 11, 26)",4579925/4966677
"(1, 11, 27)",1708727749014339/1853020231898563
"(1, 11, 28)",723907169356183898251285691/785021449541040805820267280
"(1, 11, 29)",9923875/10761678
"(1, 11, 30)",28496437991702093418838576638057/30903154382632617920981208359053
"(1, 11, 31)",47455159641979/51472783023660
"(1, 11, 32)",224/243
"(1, 11, 33)",734943/797161
"(1, 11, 34)",31643778537629/34315188682440
"(1, 11, 35)",390633089231/423579734640
"(1, 11, 36)",1245800649802272363/1350851718835253557
"(1, 11, 37)",1345/1458
"(1, 11, 38)",9077/9837
"(1, 11, 39)",256645962607506615447125015332053/278128389443693527934467475898331
"(1, 11, 40)",94995152967976/102945558872871
"(1, 11, 41)",4413854/4782969
"(1, 11, 42)",28959460059/31381236757
"(1, 11, 43)",40246774461351879652288897/43612302752280044767792566
"(1, 11, 44)",46170667870943330/50031545098999707
"(1, 11, 46)",270667338499/293291659080
"(1, 11, 47)",9653449112/10460353203
"(1, 11, 48)",96434998967401414827262901535105348470908395738829769788341445633388097173239087155/104495676331778315966103878903450701989609104331154369125153724022893118264295225157
"(1, 11, 49)",57920797669/62762119218
"(1, 11, 50)",335/363
"(1, 12, 1)",1/2
"(1, 12, 2)",32022567/43053283
"(1, 12, 3)",278/363
"(1, 12, 4)",5/6
"(1, 12, 5)",108/121
"(1, 12, 6)",8/9
"(1, 12, 7)",437/486
"(1, 12, 8)",9/10
"(1, 12, 9)",9/10
"(1, 12, 10)",35429/39366
"(1, 12, 11)",1664667882434457/1853020231898563
"(1, 12, 12)",8/9
"(1, 12, 13)",49/54
"(1, 12, 14)",752946362847647693897337/821581841487258106759759
"(1, 12, 15)",243407/265356
"(1, 12, 16)",149/162
