Initial state,P(Loser = Player 1)
"(1, 12, 9)",3053967489819544663554481014161039137908514361/4840614112275651574644283919617976062443498141
"(1, 12, 10)",29238935995874031717646436236396990144198/46743244277167462741038677307002127575369
"(1, 12, 11)",5237613008510648333021188242801351352529118522850569052/8783247035140904842219746460037824870603096741085644987
"(1, 12, 12)",13307828897146702911444856476848329951371005717389/25401044914489243793200276906463506320881985646095
"(1, 12, 13)",1382307692502630942939511982899176969554246047331118980905015268521199/2313963655278261561710642175670447919932901996040765230340625041979944
"(1, 12, 14)",6937557854089398789713603185412866072570284483424376818/11046774187701380572574518534649183196387591553689214837
"(1, 12, 15)",412918634525203854558971043736964054844142935244549575796539765044875726398192863/650601217491802300436959194816660273443895106112585651284984080366466613120808936
"(1, 12, 16)",383877865427954669787504495854153419435369794422768826499641374928665/598010412622484406031140783693779128535053289944002084684229248893798
"(1, 12, 18)",112954882644215600946150642526043356123399224777523511069691372589583505921635948/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 12, 20)",317529900751642230665741661133831091577750174420139676495284346356656561039304664231/491290367591093761652647723528209761456559083857170880984887001076736932764265359220
"(1, 13, 1)",51651637719833/104025194330271
"(1, 13, 2)",22109495812401876655628/37934411185554452364005
"(1, 13, 3)",1602356311971737691015/2626941360963688147249
"(1, 13, 4)",129681370826722298020694959/210580594073840324924545067
"(1, 13, 5)",32288815904144826873791386879/51414990185038204383703146648
"(1, 13, 6)",36701667407853840658020228136032587789/57961442947535311667794994473863737322
"(1, 13, 7)",202098848255091479574638323549816/316846854002128384094529548366613
"(1, 13, 8)",20991231803443489510911569019486795791348036/32929347702555452888736625303523646683289103
"(1, 13, 9)",3221217304852512041862579504549291336685265/5048270381934085976032177149156229778139852
"(1, 13, 10)",793148549375895866115796620157754815105632820426808371/1254749576448700691745678065719689267229013820155092141
"(1, 13, 11)",191061895623990811376888595852285173844487151496749/304812538973870925518403322877562075850583827753140
"(1, 13, 12)",1382307692502630942939511982899176969554246047331118980905015268521199/2313963655278261561710642175670447919932901996040765230340625041979944
"(1, 13, 13)",5799650924935635909081811671458475168209265021108321009/11046774187701380572574518534649183196387591553689214837
"(1, 13, 14)",4635484908703743293167396613399581600278280737797692980751905687614081304317243/7745252589188122624249514224007860398141608406102210134345048575791269203819154
"(1, 13, 15)",3385542897474162576978607408363176086448197362810819561879023814885909/5382093713602359654280267053244012156815479609496018762158063240044182
"(1, 13, 17)",336991905278092919166932520570391565727405932664887173577052145671209535087548392/524318026290535123667564254242114557848362653248486396774034112786192692366664591
"(1, 13, 19)",1910056255774184131316131754081677376197572997767476315693571080596574699664252355271/2947742205546562569915886341169258568739354503143025285909322006460421596585592155320
"(1, 14, 1)",1615280121690795267478/3251520958761810202629
"(1, 14, 2)",1529250476843789301594/2626941360963688147249
"(1, 14, 3)",5021281267411114142093519717/8212643168879772672057257613
"(1, 14, 4)",1781204765835321324628651835/2856388343613233576872397036
"(1, 14, 5)",650006532286273868033229287193845033119/1043305973055635610020309900529547271796
"(1, 14, 6)",67088386536290975429346936189760/105615618000709461364843182788871
"(1, 14, 7)",1032505700147664294586408365356180685848127917/1613538037425217191548094639872658687481166047
"(1, 14, 8)",179683043333207298403195541130606644425477/280459465663004776446232063842012765452214
"(1, 14, 9)",16869612132351245764389710828542961113806893134619650453/26349741105422714526659239380113474611809290223256934961
"(1, 14, 10)",23651920737811830169810588279249289348385272262/36973864504351155448617579194270023756742337185
"(1, 14, 11)",732744389962853976671547723752655092540206527198837728665733375927075/1156981827639130780855321087835223959966450998020382615170312520989972
"(1, 14, 12)",6937557854089398789713603185412866072570284483424376818/11046774187701380572574518534649183196387591553689214837
"(1, 14, 14)",471710384505037855631040609639262164187950528919787619319710205653173/897015618933726609046711175540668692802579934916003127026343873340697
"(1, 14, 16)",110084128132872875109996032563259217480944820801696793275472210280562414455874984/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 14, 18)",79059848578186404935891604756764365790033027119127696570369245070837492053184258791/122822591897773440413161930882052440364139770964292720246221750269184233191066339805
"(1, 15, 1)",3918023557858946138032/7880824082891064441747
"(1, 15, 2)",228513021249911530438561634/391078246137132032002726553
"(1, 15, 3)",31519182453144620975158980007/51414990185038204383703146648
"(1, 15, 4)",93175618338117767214446626573160714201/149043710436519372860044271504221038828
"(1, 15, 5)",64704146167268871706057074522476/105615618000709461364843182788871
"(1, 15, 6)",3065317830900647710114113185029555151197776269/4840614112275651574644283919617976062443498141
"(1, 15, 7)",1618212812346887077299345942693013714210661/2524135190967042988016088574578114889069926
"(1, 15, 8)",5642097539764414278857248566034973430545916468370018096/8783247035140904842219746460037824870603096741085644987
"(1, 15, 9)",38990732568421895692161915977975011558751378543233/60962507794774185103680664575512415170116765550628
