Initial state,P(Loser = Player 1)
"(6, 8, 9)",2917/4374
"(6, 8, 10)",39589/59293
"(6, 9, 1)",2433/29524
"(6, 9, 2)",27/121
"(6, 9, 3)",3/13
"(6, 9, 4)",813/3280
"(6, 9, 5)",5/18
"(6, 9, 6)",1/2
"(6, 9, 7)",35435/53144
"(6, 9, 8)",2917/4374
"(6, 9, 9)",2/3
"(6, 9, 10)",730/1093
"(6, 10, 1)",10/121
"(6, 10, 2)",169/757
"(6, 10, 3)",757/3280
"(6, 10, 4)",1/4
"(6, 10, 5)",1042744327/3486843451
"(6, 10, 6)",1/2
"(6, 10, 7)",2/3
"(6, 10, 8)",39589/59293
"(6, 10, 9)",730/1093
"(6, 10, 10)",2/3
"(7, 1, 1)",0
"(7, 1, 2)",1/120
"(7, 1, 3)",1/54
"(7, 1, 4)",0
"(7, 1, 5)",37/1458
"(7, 1, 6)",3/91
"(7, 1, 7)",1/18
"(7, 1, 8)",6643/88572
"(7, 1, 9)",82/1089
"(7, 1, 10)",1/13
"(7, 2, 1)",1/120
"(7, 2, 2)",0
"(7, 2, 3)",1629/59293
"(7, 2, 4)",325/4374
"(7, 2, 5)",1/13
"(7, 2, 6)",3558063/43053283
"(7, 2, 7)",1/6
"(7, 2, 8)",2/9
"(7, 2, 9)",243/1093
"(7, 2, 10)",973/4374
"(7, 3, 1)",1/54
"(7, 3, 2)",1629/59293
"(7, 3, 3)",0
"(7, 3, 4)",1/18
"(7, 3, 5)",3324807/43053283
"(7, 3, 6)",12/121
"(7, 3, 7)",1/6
"(7, 3, 8)",27/121
"(7, 3, 9)",9/40
"(7, 3, 10)",109/486
"(7, 4, 1)",0
"(7, 4, 2)",325/4374
"(7, 4, 3)",1/18
"(7, 4, 4)",0
"(7, 4, 5)",61481/797148
"(7, 4, 6)",12/121
"(7, 4, 7)",1/6
"(7, 4, 8)",37/162
"(7, 4, 9)",37/162
"(7, 4, 10)",13/54
"(7, 5, 1)",37/1458
"(7, 5, 2)",1/13
"(7, 5, 3)",3324807/43053283
"(7, 5, 4)",61481/797148
"(7, 5, 5)",0
"(7, 5, 6)",93/1093
"(7, 5, 7)",1/6
"(7, 5, 8)",170/729
"(7, 5, 9)",861426333/3486843451
"(7, 5, 10)",1067011/4304664
"(7, 6, 1)",3/91
"(7, 6, 2)",3558063/43053283
"(7, 6, 3)",12/121
"(7, 6, 4)",12/121
"(7, 6, 5)",93/1093
"(7, 6, 6)",0
"(7, 6, 7)",1/6
"(7, 6, 8)",91335/368089
"(7, 6, 9)",93/364
"(7, 6, 10)",5/18
"(7, 7, 1)",1/18
"(7, 7, 2)",1/6
"(7, 7, 3)",1/6
"(7, 7, 4)",1/6
"(7, 7, 5)",1/6
