Initial state,P(Loser = Player 1)
"(5, 6, 2)",121043592577/426756252062
"(5, 6, 3)",409007080045582/1349720946459973
"(5, 6, 4)",23131929945039/69350129553514
"(5, 6, 5)",6439823895667436007413/16257604793809051013145
"(5, 6, 6)",958028418753846045591/2626941360963688147249
"(5, 6, 7)",493545240584706845242975801/1173234738411396096008179659
"(5, 6, 8)",3676802344356247542368258171/8569165030839700730617191108
"(5, 6, 9)",233555419671137710851492056154597943619/521652986527817805010154950264773635898
"(5, 6, 10)",49498455288073444567990060619026/105615618000709461364843182788871
"(5, 7, 1)",703345416785/2560537512372
"(5, 7, 2)",21039294216998908/68835768269458623
"(5, 7, 3)",11200444036352/34675064776757
"(5, 7, 4)",5448740679617282041592/16257604793809051013145
"(5, 7, 5)",6385250974738526255173/15761648165782128883494
"(5, 7, 6)",493545240584706845242975801/1173234738411396096008179659
"(5, 7, 7)",9674694119132047478146563553/25707495092519102191851573324
"(5, 7, 8)",25424153614205494181829414445086271633/57961442947535311667794994473863737322
"(5, 7, 9)",573367639948492915086708712690409/1267387416008513536378118193466452
"(5, 7, 10)",5340031452713172950915657426961828181342031421/11294766261976520340836662479108610812368162329
"(5, 8, 1)",12967257247540501/45890512179639082
"(5, 8, 2)",10981307839844/34675064776757
"(5, 8, 3)",3271305678083723847541/9754562876285430607887
"(5, 8, 4)",853039073881228083741/2626941360963688147249
"(5, 8, 5)",161133975315887952682287184/391078246137132032002726553
"(5, 8, 6)",3676802344356247542368258171/8569165030839700730617191108
"(5, 8, 7)",25424153614205494181829414445086271633/57961442947535311667794994473863737322
"(5, 8, 8)",41624396235482918053719484036111/105615618000709461364843182788871
"(5, 8, 9)",42886670841390238159882104530946649897885855/94914002201483364208711449404274040440068591
"(5, 8, 10)",199381820440705991098941546433761849847907/420689198494507164669348095763019148178321
"(5, 9, 1)",10046231718213/34675064776757
"(5, 9, 2)",31464708822612488678891/97545628762854306078870
"(5, 9, 3)",2685299410522836870038/7880824082891064441747
"(5, 9, 4)",1923607570012852793527759051/5475095445919848448038171742
"(5, 9, 5)",2680132187852156913607026524/6426873773129775547962893331
"(5, 9, 6)",233555419671137710851492056154597943619/521652986527817805010154950264773635898
"(5, 9, 7)",573367639948492915086708712690409/1267387416008513536378118193466452
"(5, 9, 8)",42886670841390238159882104530946649897885855/94914002201483364208711449404274040440068591
"(5, 9, 9)",1020305152268720480077686246272238449959187/2524135190967042988016088574578114889069926
"(5, 9, 10)",87493523998968694360464055922770801083271728795642354521/184448187737959001686614675660794322282665031562798544727
"(5, 10, 1)",28650015165326556136943/97545628762854306078870
"(5, 10, 2)",853154425844846640878/2626941360963688147249
"(5, 10, 3)",1933393327022641468706723585/5475095445919848448038171742
"(5, 10, 4)",520984939433009291115761617/1428194171806616788436198518
"(5, 10, 5)",3/7
"(5, 10, 6)",49498455288073444567990060619026/105615618000709461364843182788871
"(5, 10, 7)",5340031452713172950915657426961828181342031421/11294766261976520340836662479108610812368162329
"(5, 10, 8)",199381820440705991098941546433761849847907/420689198494507164669348095763019148178321
"(5, 10, 9)",87493523998968694360464055922770801083271728795642354521/184448187737959001686614675660794322282665031562798544727
"(5, 10, 10)",3/7
"(6, 1, 1)",1343/46095
"(6, 1, 2)",1077/15019
"(6, 1, 3)",10971881/113612282
"(6, 1, 4)",6976/59129
"(6, 1, 5)",366379763401/2351413678929
"(6, 1, 6)",52680555875/213378126031
"(6, 1, 7)",36220037305006859/137671536538917246
"(6, 1, 8)",18690482821117/69350129553514
"(6, 1, 9)",13403226960451071931882/48772814381427153039435
"(6, 1, 10)",738987312832470996886/2626941360963688147249
"(6, 2, 1)",1077/15019
"(6, 2, 2)",2/21
"(6, 2, 3)",917145/7036351
"(6, 2, 4)",5/31
"(6, 2, 5)",84366825861/426756252062
"(6, 2, 6)",347/1308
"(6, 2, 7)",9693156956145/34675064776757
"(6, 2, 8)",904/3073
"(6, 2, 9)",794736660776450621805/2626941360963688147249
"(6, 2, 10)",13759/45057
"(6, 3, 1)",10971881/113612282
"(6, 3, 2)",917145/7036351
"(6, 3, 3)",1/7
"(6, 3, 4)",44193014715/213378126031
"(6, 3, 5)",40907915502331805/183562048718556328
"(6, 3, 6)",2/7
"(6, 3, 7)",41767964140499751661487/136563880267996028510418
"(6, 3, 8)",819422269496771161395/2626941360963688147249
"(6, 3, 9)",69/217
"(6, 3, 10)",1446287889182630239094182049/4284582515419850365308595554
"(6, 4, 1)",6976/59129
"(6, 4, 2)",5/31
"(6, 4, 3)",44193014715/213378126031
"(6, 4, 4)",20/109
"(6, 4, 5)",16650216648135/69350129553514
"(6, 4, 6)",14167/46095
"(6, 4, 7)",843284521034336447895/2626941360963688147249
"(6, 4, 8)",4695/15019
"(6, 4, 9)",135411785808716987422848335/408055477659033368124628148
"(6, 4, 10)",1197064/3477927
"(6, 5, 1)",366379763401/2351413678929
"(6, 5, 2)",84366825861/426756252062
"(6, 5, 3)",40907915502331805/183562048718556328
"(6, 5, 4)",16650216648135/69350129553514
"(6, 5, 5)",3377957002474178998319/16257604793809051013145
"(6, 5, 6)",834456471104921050829/2626941360963688147249
"(6, 5, 7)",391724589371472761755718074/1173234738411396096008179659
"(6, 5, 8)",243390615065478285318292357/714097085903308394218099259
"(6, 5, 9)",177387108454279101989561463946295731501/521652986527817805010154950264773635898
